wave,Fe_37,Fe_38,Fe_36,Fe_35,Fe_43,Fe_42,Fe_41,Fe_49,Fe_48,Fe_IZw1,Fe_27,Fe_28
4000,0,0,0,0,0,0,0,0,0,0,0,0
4001,0,0,0,0,0,0,0,0,0,0,0,0
4002,0,0,0,0,0,0,0,0,0,0,0,0
4003,0,0,0,0,0,0,0,0,0,0,0,0
4004,0,0,0,0,0,0,0,0,0,0,0,0
4005,0,0,0,0,0,0,0,0,0,0,0,0
4006,0,0,0,0,0,0,0,0,0,0,0,0
4007,0,0,0,0,0,0,0,0,0,0,0,0
4008,0,0,0,0,0,0,0,0,0,0,0,0
4009,0,0,0,0,0,0,0,0,0,0,0,0
4010,0,0,0,0,0,0,0,0,0,0,0,0
4011,0,0,0,0,0,0,0,0,0,0,0,0
4012,0,0,0,0,0,0,0,0,0,0,0,0
4013,0,0,0,0,0,0,0,0,0,0,0,0
4014,0,0,0,0,0,0,0,0,0,0,0,0
4015,0,0,0,0,0,0,0,0,0,0,0,0
4016,0,0,0,0,0,0,0,0,0,0,0,0
4017,0,0,0,0,0,0,0,0,0,0,0,0
4018,0,0,0,0,0,0,0,0,0,0,0,0
4019,0,0,0,0,0,0,0,0,0,0,0,0
4020,0,0,0,0,0,0,0,0,0,0,0,0
4021,0,0,0,0,0,0,0,0,0,0,0,0
4022,0,0,0,0,0,0,0,0,0,0,0,0
4023,0,0,0,0,0,0,0,0,0,0,0,0
4024,0,0,0,0,0,0,0,0,0,0,0,0
4025,0,0,0,0,0,0,0,0,0,0,0,0
4026,0,0,0,0,0,0,0,0,0,0,0,0
4027,0,0,0,0,0,0,0,0,0,0,0,0
4028,0,0,0,0,0,0,0,0,0,0,0,0
4029,0,0,0,0,0,0,0,0,0,0,0,0
4030,0,0,0,0,0,0,0,0,0,0,0,0
4031,0,0,0,0,0,0,0,0,0,0,0,0
4032,0,0,0,0,0,0,0,0,0,0,0,0
4033,0,0,0,0,0,0,0,0,0,0,0,0
4034,0,0,0,0,0,0,0,0,0,0,0,0
4035,0,0,0,0,0,0,0,0,0,0,0,0
4036,0,0,0,0,0,0,0,0,0,0,0,0
4037,0,0,0,0,0,0,0,0,0,0,0,0
4038,0,0,0,0,0,0,0,0,0,0,0,0
4039,0,0,0,0,0,0,0,0,0,0,0,0
4040,0,0,0,0,0,0,0,0,0,0,0,0
4041,0,0,0,0,0,0,0,0,0,0,0,0
4042,0,0,0,0,0,0,0,0,0,0,0,0
4043,0,0,0,0,0,0,0,0,0,0,0,0
4044,0,0,0,0,0,0,0,0,0,0,0,0
4045,0,0,0,0,0,0,0,0,0,0,0,0
4046,0,0,0,0,0,0,0,0,0,0,0,0
4047,0,0,0,0,0,0,0,0,0,0,0,0
4048,0,0,0,0,0,0,0,0,0,0,0,0
4049,0,0,0,0,0,0,0,0,0,0,0,0
4050,0,0,0,0,0,0,0,0,0,0,0,0
4051,0,0,0,0,0,0,0,0,0,0,0,0
4052,0,0,0,0,0,0,0,0,0,0,0,0
4053,0,0,0,0,0,0,0,0,0,0,0,0
4054,0,0,0,0,0,0,0,0,0,0,0,0
4055,0,0,0,0,0,0,0,0,0,0,0,0
4056,0,0,0,0,0,0,0,0,0,0,0,0
4057,0,0,0,0,0,0,0,0,0,0,0,0
4058,0,0,0,0,0,0,0,0,0,0,0,0
4059,0,0,0,0,0,0,0,0,0,0,0,0
4060,0,0,0,0,0,0,0,0,0,0,0,0
4061,0,0,0,0,0,0,0,0,0,0,0,0
4062,0,0,0,0,0,0,0,0,0,0,0,0
4063,0,0,0,0,0,0,0,0,0,0,0,0
4064,0,0,0,0,0,0,0,0,0,0,0,0
4065,0,0,0,0,0,0,0,0,0,0,0,0
4066,0,0,0,0,0,0,0,0,0,0,0,0
4067,0,0,0,0,0,0,0,0,0,0,1.66E-07,0
4068,0,0,0,0,0,0,0,0,0,0,3.63E-07,0
4069,0,0,0,0,0,0,0,0,0,0,7.60E-07,0
4070,0,0,0,0,0,0,0,0,0,0,1.53E-06,0
4071,0,0,0,0,0,0,0,0,0,0,2.96E-06,0
4072,0,0,0,0,0,0,0,0,0,0,5.50E-06,0
4073,0,0,0,0,0,0,0,0,0,0,9.83E-06,0
4074,0,0,0,0,0,0,0,0,0,0,1.69E-05,0
4075,0,0,0,0,0,0,0,0,0,0,2.78E-05,0
4076,0,0,0,0,0,0,0,0,0,0,4.40E-05,0
4077,0,0,0,0,0,0,0,0,0,0,6.70E-05,0
4078,0,0,0,0,0,0,0,0,0,0,9.80E-05,0
4079,0,0,0,0,0,0,0,0,0,0,0.00013773,0
4080,0,0,0,0,0,0,0,0,0,0,0.000185917,0
4081,0,0,0,0,0,0,0,0,0,0,0.000241121,0
4082,0,0,0,0,0,0,0,0,0,0,0.000300455,0
4083,0,0,0,0,0,0,0,0,0,0,0.00035971,0
4084,0,0,0,0,0,0,0,0,0,0,0.000413765,0
4085,0,0,0,0,0,0,0,0,0,0,0.000457281,0
4086,0,0,0,0,0,0,0,0,0,0,0.000485558,0
4087,0,0,0,0,0,0,0,0,0,0,0.000495367,0
4088,0,0,0,0,0,0,0,0,0,0,0.000485558,0
4089,0,0,0,0,0,0,0,0,0,0,0.000457281,0
4090,0,0,0,0,0,0,0,0,0,0,0.000413765,0
4091,0,0,0,0,0,0,0,0,0,0,0.00035971,0
4092,0,0,0,0,0,0,0,0,0,0,0.000300455,0
4093,0,0,0,0,0,0,0,0,0,0,0.000241121,0
4094,0,0,0,0,0,0,0,0,0,0,0.000185917,0
4095,0,0,0,0,0,0,0,0,0,0,0.00013773,0
4096,0,0,0,0,0,0,0,0,0,0,9.80E-05,0
4097,0,0,0,0,0,0,0,0,0,0,6.70E-05,0
4098,0,0,0,0,0,0,0,0,0,0,4.40E-05,0
4099,0,0,0,0,0,0,0,0,0,0,2.78E-05,0
4100,0,0,0,0,0,0,0,0,0,0,1.69E-05,0
4101,0,0,0,0,0,0,0,0,0,0,9.83E-06,0
4102,0,0,0,0,0,0,0,0,0,0,5.50E-06,0
4103,0,0,0,0,0,0,0,0,0,0,5.73E-06,0
4104,0,0,0,0,0,0,0,0,0,0,7.57E-06,0
4105,0,0,0,0,0,0,0,0,0,0,1.34E-05,0
4106,0,0,0,0,0,0,0,0,0,0,2.59E-05,0
4107,0,0,0,0,0,0,0,0,0,0,4.95E-05,0
4108,0,0,0,0,0,0,0,0,0,0,9.18E-05,0
4109,0,0,0,0,0,0,0,0,0,0,0.000163872,1.46E-06
4110,0,0,0,0,0,0,0,0,0,0,0.000281205,3.17E-06
4111,0,0,0,0,0,0,0,0,0,0,0.000463629,6.65E-06
4112,0,0,0,0,0,0,0,0,0,0,0.000734422,1.34E-05
4113,0,0,0,0,0,0,0,0,0,0,0.001117763,2.59E-05
