Wave	Flux
3500	36.38805366
3500.774375	105.433685
3501.54875	112.6293463
3502.323126	89.83824139
3503.097501	39.71283268
3503.871876	10.42387068
3504.646251	23.21525667
3505.420627	71.4508184
3506.195002	1.001398829
3506.969377	30.02708769
3507.743752	58.54297332
3508.518127	63.55245852
3509.292503	19.79968631
3510.066878	32.08223579
3510.841253	74.18320905
3511.615628	101.0547893
3512.390004	109.3749716
3513.164379	53.18968274
3513.938754	0
3514.713129	38.30903704
3515.487504	16.34831557
3516.26188	18.54459259
3517.036255	28.17736361
3517.81063	59.25748796
3518.585005	29.15308733
3519.35938	19.11885976
3520.133756	49.30109212
3520.908131	52.5401567
3521.682506	49.22159278
3522.456881	12.08578638
3523.231257	34.30092742
3524.005632	106.8522428
3524.780007	39.10585152
3525.554382	52.9753834
3526.328757	0
3527.103133	63.6245569
3527.877508	57.88298113
3528.651883	116.6958774
3529.426258	110.3426644
3530.200634	68.04586772
3530.975009	75.58125281
3531.749384	46.92481001
3532.523759	33.14699326
3533.298134	21.51167886
3534.07251	32.18197922
3534.846885	23.92025014
3535.62126	36.28731762
3536.395635	46.17714991
3537.170011	70.76536228
3537.944386	39.75205296
3538.718761	63.67222368
3539.493136	50.82958954
3540.267511	89.092143
3541.041887	51.74841912
3541.816262	8.943093633
3542.590637	36.43043972
3543.365012	63.21150658
3544.139388	84.9574999
3544.913763	100.3680679
3545.688138	69.74641341
3546.462513	65.89667514
3547.236888	56.01425704
3548.011264	54.14993752
3548.785639	63.19408946
3549.560014	56.78145713
3550.334389	0
3551.108765	23.71440525
3551.88314	16.75150458
3552.657515	18.89020851
3553.43189	77.5579683
3554.206265	52.18347112
3554.980641	98.58779527
3555.755016	56.72112721
3556.529391	73.35564727
3557.303766	83.82225341
3558.078141	62.74964069
3558.852517	25.35080408
3559.626892	85.98008043
3560.401267	12.13305611
3561.175642	0
3561.950018	0
3562.724393	34.7400743
3563.498768	113.7356878
3564.273143	57.8526944
3565.047518	0
3565.821894	39.38940639
3566.596269	59.1588245
3567.370644	43.66281466
3568.145019	49.4934533
3568.919395	26.61988707
3569.69377	29.68566459
3570.468145	13.93860874
3571.24252	30.80575449
3572.016895	30.83017287
3572.791271	25.3023538
3573.565646	19.419035
3574.340021	0
3575.114396	1.334201383
3575.888772	58.2450083
3576.663147	63.38855235
3577.437522	48.8921552
3578.211897	54.12057195
3578.986272	31.40468355
3579.760648	8.763764185
3580.535023	30.76476075
3581.309398	18.17469595
3582.083773	37.76514659
3582.858149	70.99742814
3583.632524	45.72029739
3584.406899	28.0812042
3585.181274	76.87110929
3585.955649	57.55012894
3586.730025	90.58713498
3587.5044	24.30633305
3588.278775	22.49197259
3589.05315	55.47038777
3589.827526	0
3590.601901	15.26995263
3591.376276	103.6302036
3592.150651	84.55952147
3592.925026	25.50925747
3593.699402	41.04275647
3594.473777	63.87849209
3595.248152	21.42573943
3596.022527	58.00222748
3596.796902	62.25654575
3597.571278	52.05511387
3598.345653	57.07169826
3599.120028	49.88411549
3599.894403	0
